090	beer-hagolah	1#_	משנה חולין דף ק"ט:
090	beer-hagolah	2#_	כדאמר ר"א לשמעיה שם וכגירסת הספרי' א"נ לקדיר':
090	beer-hagolah	3#_	טור בשם ר"ת וכ"כ בתוס' והרא"ש שם וכ"כ הר"ן שהוא דעת רש"י וכ"נ מדברי רבינו ירוחם ומדברי הסמ"ג:
090	beer-hagolah	4#_	כלישנא קמא דרבי זירא אמר רב:
090	beur-hagra	1#א	הכחל כו' שאין כו'. קי"א א':
090	beur-hagra	1#ב	לפיכך אם כו'. כמש"ש אר"א לשמעיה כו' וכגי' הספרים הקמ"ל דלא בעינן ש"ו אלא לקדירה ול"פ ארב יהודה דרב יהודה מיירי לקדירה ואיהו איירי בצלי וער"ן:
090	beur-hagra	1#ג	ואם קרעו כו'. וכן אף בלא בשר צריך קריעה ש"ו וטחו בכותל ואין חילוק אלא לענין דיעבד כמש"ו וכמש"ש כיצד קורעו כו' וכל הסוגיא דשם בלא בשר איירי תרי לישנא דרב ותניא כלישנא קמא כו' ועלה אמרו כיצד קורעו כו':
090	beur-hagra	1#ד	וכחל כו'. כמ"ש במתני' הכחל קורעו כו' ואפילו בלא בשר דהא אמר רב אינו עובר ומותר:
090	beur-hagra	1#ה	בין כו'. ועתוס' שם ד"ה דאתנייה כו'. אבל מדברי הרמב"ם וש"ע משמע דלענין לכתחלה בלא קריעה איירי ופסק כפלפולו של ר' חייא: (ליקוט) בין של (גדולה) כו'. גמ' שם וכ"ה בתוספתא כחל של מניקה כו' לא קרעו כו' ומניקה דקתני לרבותא. ת"ה (ע"כ):
090	beur-hagra	1#ו	ואם עבר כו'. כלישנא קמא דרב דת"כ ובלא בשר איירי וכפי' תוס' שם וכ' שיש גורסין להדיא כחל שבשלו בחלבו מותר היכא דבשליה לחודיה בלא בשר:
090	beur-hagra	1#ז	ואם בשלו עם כו'. עבה"ג. ויש ספרים שגורסין להדיא כחל עצמו אסור היכא דלא קרעיה ובשליה בהדי בישרא. תוס' שם ד"ה וכחל וק"ט ב' ד"ה אינו כו' וכל הסוגיא דג"ה עם בשר מיירי ודפ' כ"ה בלא בשר:
090	beur-hagra	1#ח	הכחל אסור. גמ' שם:
090	beur-hagra	1#ט	בין כך כו'. שם וכחל עצמו כו' וקאי אכחל בששים:
090	beur-hagra	1#י	שהכחל עצמו כו'. שם:
090	beur-hagra	1#כ	ואין משערין כו'. עבה"ג וכ"כ ב"י אבל מ"מ כ' שהוא פי' למש"ש כי משערינן בדידיה כו' ור"ל במאי דנפק מינה אף במאי דנפק ומה שהקשה ב"י מאי פריך גמ' אלא מעתה עתוס' שם ד"ה אלא. ועוד נראה לפרש כו' ועלח"מ:
090	beur-hagra	1#ל	וי"א כו'. עבה"ג. אבל הרמב"ם אזיל לשיטתו דס"ל בדרבנן לא אמרינן חנ"נ שכתב בפמ"ו מה' מ"א הלכה כ"ו וכ"ז אבל באיסור של דבריהם כו' כיצד חלב כו' פר"ח. ובלא"ה ניחא לפי הטעם שכ' שם הלכה י"ח וכחל מן המנין הואיל והכחל מדבריהם. והי"א ס"ל כפי' תוס' צ"ז ב' ד"ה וכחל מן כו' (וע"ל סי' צ"ח ס"ק ל'):
